customer_id,campaign_id,Value
5524,1,0
5524,2,0
5524,3,0
5524,4,0
5524,5,0
5524,6,1
2174,1,0
2174,2,0
2174,3,0
2174,4,0
2174,5,0
2174,6,0
4141,1,0
4141,2,0
4141,3,0
4141,4,0
4141,5,0
4141,6,0
6182,1,0
6182,2,0
6182,3,0
6182,4,0
6182,5,0
6182,6,0
5324,1,0
5324,2,0
5324,3,0
5324,4,0
5324,5,0
5324,6,0
7446,1,0
7446,2,0
7446,3,0
7446,4,0
7446,5,0
7446,6,0
965,1,0
965,2,0
965,3,0
965,4,0
965,5,0
965,6,0
6177,1,0
6177,2,0
6177,3,0
6177,4,0
6177,5,0
6177,6,0
4855,1,0
4855,2,0
4855,3,0
4855,4,0
4855,5,0
4855,6,1
5899,1,0
5899,2,0
5899,3,1
5899,4,0
5899,5,0
5899,6,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
387,1,0
387,2,0
387,3,0
387,4,0
387,5,0
387,6,0
2125,1,0
2125,2,0
2125,3,0
2125,4,0
2125,5,0
2125,6,0
8180,1,0
8180,2,0
8180,3,0
8180,4,0
8180,5,0
8180,6,0
2569,1,0
2569,2,0
2569,3,0
2569,4,0
2569,5,0
2569,6,0
2114,1,1
2114,2,0
2114,3,0
2114,4,0
2114,5,1
2114,6,1
9736,1,0
9736,2,0
9736,3,0
9736,4,0
9736,5,0
9736,6,0
4939,1,0
4939,2,0
4939,3,0
4939,4,0
4939,5,0
4939,6,0
6565,1,1
6565,2,0
6565,3,0
6565,4,0
6565,5,0
6565,6,0
2278,1,0
2278,2,0
2278,3,0
2278,4,0
2278,5,0
2278,6,0
9360,1,0
9360,2,0
9360,3,0
9360,4,0
9360,5,0
9360,6,0
5376,1,0
5376,2,0
5376,3,0
5376,4,0
5376,5,0
5376,6,0
1993,1,0
1993,2,0
1993,3,0
1993,4,1
1993,5,0
1993,6,0
4047,1,0
4047,2,0
4047,3,0
4047,4,0
4047,5,0
4047,6,0
1409,1,0
1409,2,0
1409,3,0
1409,4,0
1409,5,0
1409,6,0
7892,1,0
7892,2,0
7892,3,0
7892,4,0
7892,5,0
7892,6,0
2404,1,0
2404,2,0
2404,3,0
2404,4,0
2404,5,0
2404,6,0
5255,1,0
5255,2,0
5255,3,0
5255,4,0
5255,5,0
5255,6,0
9422,1,0
9422,2,0
9422,3,0
9422,4,0
9422,5,0
9422,6,0
1966,1,0
1966,2,0
1966,3,0
1966,4,0
1966,5,1
1966,6,0
6864,1,0
6864,2,0
6864,3,0
6864,4,0
6864,5,0
6864,6,0
3033,1,0
3033,2,0
3033,3,0
3033,4,0
3033,5,0
3033,6,0
5710,1,0
5710,2,0
5710,3,0
5710,4,1
5710,5,0
5710,6,0
7373,1,0
7373,2,0
7373,3,0
7373,4,0
7373,5,0
7373,6,1
8755,1,0
8755,2,0
8755,3,0
8755,4,0
8755,5,0
8755,6,0
10738,1,0
10738,2,0
10738,3,0
10738,4,0
10738,5,0
10738,6,0
4339,1,0
4339,2,0
4339,3,0
4339,4,0
4339,5,0
4339,6,0
10755,1,0
10755,2,0
10755,3,0
10755,4,0
10755,5,0
10755,6,0
8595,1,0
8595,2,0
8595,3,0
8595,4,0
8595,5,0
8595,6,0
2968,1,0
2968,2,0
2968,3,1
2968,4,0
2968,5,0
2968,6,1
8601,1,0
8601,2,0
8601,3,0
8601,4,0
8601,5,0
8601,6,0
503,1,0
503,2,0
503,3,0
503,4,0
503,5,0
503,6,0
8430,1,0
8430,2,0
8430,3,0
8430,4,0
8430,5,0
8430,6,0
7281,1,0
7281,2,0
7281,3,0
7281,4,0
7281,5,0
7281,6,0
2139,1,0
2139,2,0
2139,3,0
2139,4,0
2139,5,0
2139,6,0
1371,1,0
1371,2,0
1371,3,0
1371,4,0
1371,5,0
1371,6,0
9909,1,0
9909,2,0
9909,3,0
9909,4,0
9909,5,0
9909,6,1
7286,1,0
7286,2,0
7286,3,0
7286,4,0
7286,5,0
7286,6,0
7244,1,0
7244,2,0
7244,3,0
7244,4,0
7244,5,0
7244,6,0
6566,1,0
6566,2,0
6566,3,0
6566,4,0
6566,5,0
6566,6,0
8614,1,0
8614,2,0
8614,3,0
8614,4,0
8614,5,0
8614,6,0
4114,1,0
4114,2,0
4114,3,0
4114,4,0
4114,5,0
4114,6,0
1331,1,0
1331,2,0
1331,3,0
1331,4,0
1331,5,0
1331,6,0
2225,1,1
2225,2,0
2225,3,1
2225,4,0
2225,5,0
2225,6,1
9381,1,0
9381,2,0
9381,3,0
9381,4,0
9381,5,0
9381,6,0
6260,1,0
6260,2,0
6260,3,0
6260,4,0
6260,5,1
6260,6,1
10383,1,0
10383,2,0
10383,3,0
10383,4,0
10383,5,0
10383,6,1
7437,1,0
7437,2,0
7437,3,0
7437,4,0
7437,5,0
7437,6,0
8557,1,0
8557,2,0
8557,3,0
8557,4,0
8557,5,0
8557,6,0
8375,1,0
8375,2,0
8375,3,0
8375,4,0
8375,5,0
8375,6,0
6853,1,0
6853,2,0
6853,3,0
6853,4,1
6853,5,1
6853,6,1
3076,1,0
3076,2,0
3076,3,0
3076,4,0
3076,5,0
3076,6,0
1012,1,0
1012,2,0
1012,3,0
1012,4,0
1012,5,0
1012,6,0
6518,1,0
6518,2,0
6518,3,0
6518,4,0
6518,5,0
6518,6,0
4137,1,0
4137,2,0
4137,3,0
4137,4,0
4137,5,0
4137,6,0
8082,1,0
8082,2,0
8082,3,0
8082,4,0
8082,5,0
8082,6,1
1386,1,0
1386,2,0
1386,3,0
1386,4,0
1386,5,0
1386,6,0
9369,1,1
9369,2,0
9369,3,1
9369,4,0
9369,5,0
9369,6,1
4477,1,0
4477,2,0
4477,3,0
4477,4,0
4477,5,0
4477,6,0
1357,1,0
1357,2,0
1357,3,0
1357,4,0
1357,5,0
1357,6,0
1402,1,0
1402,2,0
1402,3,0
1402,4,0
1402,5,0
1402,6,0
10629,1,0
10629,2,0
10629,3,0
10629,4,0
10629,5,0
10629,6,0
6312,1,0
6312,2,0
6312,3,0
6312,4,0
6312,5,0
6312,6,0
8132,1,0
8132,2,0
8132,3,0
8132,4,1
8132,5,0
8132,6,0
1050,1,0
1050,2,0
1050,3,0
1050,4,0
1050,5,0
1050,6,0
5846,1,0
5846,2,0
5846,3,0
5846,4,0
5846,5,0
5846,6,0
1859,1,0
1859,2,0
1859,3,0
1859,4,0
1859,5,0
1859,6,1
7503,1,0
7503,2,0
7503,3,1
7503,4,0
7503,5,0
7503,6,1
10401,1,0
10401,2,0
10401,3,0
10401,4,0
10401,5,0
10401,6,0
1618,1,0
1618,2,0
1618,3,1
1618,4,0
1618,5,0
1618,6,1
3332,1,0
3332,2,0
3332,3,0
3332,4,0
3332,5,0
3332,6,0
2261,1,0
2261,2,0
2261,3,0
2261,4,0
2261,5,0
2261,6,0
5346,1,0
5346,2,0
5346,3,0
5346,4,0
5346,5,0
5346,6,0
4119,1,0
4119,2,0
4119,3,0
4119,4,0
4119,5,0
4119,6,0
535,1,0
535,2,0
535,3,0
535,4,0
535,5,0
535,6,0
5268,1,0
5268,2,0
5268,3,0
5268,4,0
5268,5,0
5268,6,0
273,1,0
273,2,0
273,3,0
273,4,1
273,5,0
273,6,0
4452,1,1
4452,2,0
4452,3,0
4452,4,1
4452,5,0
4452,6,1
8504,1,0
8504,2,0
8504,3,0
8504,4,0
8504,5,1
8504,6,0
771,1,0
771,2,0
771,3,0
771,4,0
771,5,0
771,6,0
8996,1,0
8996,2,0
8996,3,0
8996,4,0
8996,5,0
8996,6,0
9235,1,0
9235,2,0
9235,3,0
9235,4,0
9235,5,0
9235,6,0
5798,1,0
5798,2,0
5798,3,0
5798,4,0
5798,5,0
5798,6,0
11178,1,0
11178,2,0
11178,3,0
11178,4,0
11178,5,0
11178,6,0
2230,1,0
2230,2,0
2230,3,0
2230,4,0
2230,5,0
2230,6,0
7516,1,0
7516,2,0
7516,3,0
7516,4,0
7516,5,0
7516,6,0
7247,1,0
7247,2,0
7247,3,0
7247,4,1
7247,5,0
7247,6,0
11100,1,0
11100,2,0
11100,3,0
11100,4,0
11100,5,0
11100,6,0
4646,1,1
4646,2,0
4646,3,0
4646,4,0
4646,5,0
4646,6,0
3037,1,0
3037,2,0
3037,3,0
3037,4,0
3037,5,0
3037,6,0
1473,1,0
1473,2,0
1473,3,0
1473,4,0
1473,5,0
1473,6,0
1016,1,0
1016,2,0
1016,3,0
1016,4,0
1016,5,0
1016,6,0
4518,1,0
4518,2,0
4518,3,0
4518,4,0
4518,5,0
4518,6,0
9370,1,0
9370,2,0
9370,3,0
9370,4,0
9370,5,0
9370,6,0
8908,1,0
8908,2,0
8908,3,0
8908,4,0
8908,5,0
8908,6,1
8373,1,0
8373,2,0
8373,3,0
8373,4,0
8373,5,0
8373,6,0
7533,1,0
7533,2,0
7533,3,0
7533,4,0
7533,5,0
7533,6,0
2683,1,0
2683,2,0
2683,3,0
2683,4,0
2683,5,0
2683,6,0
3629,1,0
3629,2,0
3629,3,0
3629,4,0
3629,5,0
3629,6,0
10991,1,0
10991,2,0
10991,3,0
10991,4,0
10991,5,0
10991,6,0
5077,1,0
5077,2,0
5077,3,0
5077,4,0
5077,5,0
5077,6,0
7431,1,0
7431,2,0
7431,3,0
7431,4,1
7431,5,0
7431,6,1
3267,1,0
3267,2,0
3267,3,0
3267,4,1
3267,5,0
3267,6,0
999,1,0
999,2,0
999,3,0
999,4,1
999,5,1
999,6,1
9215,1,0
9215,2,0
9215,3,0
9215,4,0
9215,5,0
9215,6,0
2286,1,0
2286,2,0
2286,3,0
2286,4,0
2286,5,0
2286,6,0
1592,1,1
1592,2,0
1592,3,0
1592,4,0
1592,5,1
1592,6,0
367,1,0
367,2,0
367,3,0
367,4,0
367,5,0
367,6,0
5234,1,0
5234,2,0
5234,3,0
5234,4,0
5234,5,0
5234,6,0
9862,1,0
9862,2,0
9862,3,0
9862,4,0
9862,5,0
9862,6,0
9805,1,0
9805,2,0
9805,3,0
9805,4,0
9805,5,0
9805,6,0
6205,1,0
6205,2,0
6205,3,0
6205,4,0
6205,5,0
6205,6,1
8442,1,0
8442,2,0
8442,3,0
8442,4,0
8442,5,0
8442,6,0
7386,1,0
7386,2,0
7386,3,0
7386,4,0
7386,5,0
7386,6,0
7215,1,1
7215,2,0
7215,3,0
7215,4,1
7215,5,1
7215,6,1
1491,1,0
1491,2,0
1491,3,0
1491,4,0
1491,5,0
1491,6,0
11071,1,0
11071,2,0
11071,3,0
11071,4,0
11071,5,0
11071,6,1
3381,1,0
3381,2,0
3381,3,0
3381,4,0
3381,5,0
3381,6,0
8268,1,0
8268,2,0
8268,3,0
8268,4,0
8268,5,0
8268,6,0
11051,1,0
11051,2,0
11051,3,0
11051,4,0
11051,5,0
11051,6,0
8026,1,0
8026,2,0
