customer_id,product_id,amount
5524,1,635
5524,2,88
5524,3,546
5524,4,172
5524,5,88
5524,6,88
2174,1,11
2174,2,1
2174,3,6
2174,4,2
2174,5,1
2174,6,6
4141,1,426
4141,2,49
4141,3,127
4141,4,111
4141,5,21
4141,6,42
6182,1,11
6182,2,4
6182,3,20
6182,4,10
6182,5,3
6182,6,5
5324,1,173
5324,2,43
5324,3,118
5324,4,46
5324,5,27
5324,6,15
7446,1,520
7446,2,42
7446,3,98
7446,4,0
7446,5,42
7446,6,14
965,1,235
965,2,65
965,3,164
965,4,50
965,5,49
965,6,27
6177,1,76
6177,2,10
6177,3,56
6177,4,3
6177,5,1
6177,6,23
4855,1,14
4855,2,0
4855,3,24
4855,4,3
4855,5,3
4855,6,2
5899,1,28
5899,2,0
5899,3,6
5899,4,1
5899,5,1
5899,6,13
1994,1,5
1994,2,5
1994,3,6
1994,4,0
1994,5,2
1994,6,1
387,1,6
387,2,16
387,3,11
387,4,11
387,5,1
387,6,16
2125,1,194
2125,2,61
2125,3,480
2125,4,225
2125,5,112
2125,6,30
8180,1,233
8180,2,2
8180,3,53
8180,4,3
8180,5,5
8180,6,14
2569,1,3
2569,2,14
2569,3,17
2569,4,6
2569,5,1
2569,6,5
2114,1,1006
2114,2,22
2114,3,115
2114,4,59
2114,5,68
2114,6,45
9736,1,53
9736,2,5
9736,3,19
9736,4,2
9736,5,13
9736,6,4
4939,1,84
4939,2,5
4939,3,38
4939,4,150
4939,5,12
4939,6,28
6565,1,1012
6565,2,80
6565,3,498
6565,4,0
6565,5,16
6565,6,176
2278,1,4
2278,2,17
2278,3,19
2278,4,30
2278,5,24
2278,6,39
9360,1,86
9360,2,2
9360,3,73
9360,4,69
9360,5,38
9360,6,48
5376,1,1
5376,2,1
5376,3,1725
5376,4,1
5376,5,1
5376,6,1
1993,1,867
1993,2,0
1993,3,86
1993,4,0
1993,5,0
1993,6,19
4047,1,384
4047,2,0
4047,3,102
4047,4,21
4047,5,32
4047,6,5
1409,1,270
1409,2,3
1409,3,27
1409,4,39
1409,5,6
1409,6,99
7892,1,6
7892,2,4
7892,3,25
7892,4,15
7892,5,12
7892,6,13
2404,1,173
2404,2,4
2404,3,30
2404,4,3
2404,5,6
2404,6,41
5255,1,5
5255,2,1
5255,3,3
5255,4,3
5255,5,263
5255,6,362
9422,1,36
9422,2,2
9422,3,42
9422,4,20
9422,5,21
9422,6,10
1966,1,684
1966,2,100
1966,3,801
1966,4,21
1966,5,66
1966,6,0
6864,1,8
6864,2,4
6864,3,10
6864,4,2
6864,5,2
6864,6,4
3033,1,112
3033,2,17
3033,3,44
3033,4,34
3033,5,22
3033,6,89
5710,1,110
5710,2,0
5710,3,5
5710,4,2
5710,5,0
5710,6,3
7373,1,96
7373,2,12
7373,3,96
7373,4,33
7373,5,22
7373,6,43
8755,1,482
8755,2,34
8755,3,471
8755,4,119
8755,5,68
8755,6,22
10738,1,40
10738,2,0
10738,3,19
10738,4,2
10738,5,1
10738,6,3
4339,1,702
4339,2,17
4339,3,151
4339,4,0
4339,5,8
4339,6,35
10755,1,6
10755,2,3
10755,3,14
10755,4,15
10755,5,7
10755,6,36
8595,1,55
8595,2,0
8595,3,6
8595,4,2
8595,5,0
8595,6,4
2968,1,437
2968,2,8
2968,3,206
2968,4,160
2968,5,49
2968,6,42
8601,1,421
8601,2,76
8601,3,536
8601,4,82
8601,5,178
8601,6,102
503,1,13
503,2,1
503,3,29
503,4,3
503,5,0
503,6,7
